Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
21420;36.769;37.077
21425;36.769;37.385
21430;36.923;37.385
21435;36.923;37.538
21440;37.077;37.538
21445;37.077;37.538
21450;36.615;37.538
21455;36.308;37.692
21460;36.462;37.538
21465;36.462;37.385
21470;36.769;37.385
21475;36.923;37.385
21480;36.923;37.692
21485;37.077;38.0
21490;36.923;38.154
21495;36.923;38.0
21500;36.923;37.846
21505;36.923;38.0
21510;36.923;38.0
21515;36.923;38.0
21520;36.923;37.846
21525;37.077;37.538
21530;37.077;37.385
21535;37.231;37.385
21540;37.231;37.538
21545;37.077;37.538
21550;37.077;37.692
21555;37.077;37.385
21560;37.077;37.385
21565;37.077;37.692
21570;37.231;37.846
21575;37.231;37.846
21580;36.923;37.846
21585;36.923;37.846
21590;37.077;37.846
21595;37.077;37.538
21600;37.231;37.538
21605;37.385;37.692
21610;37.385;37.846
21615;37.231;37.846
21620;37.231;38.0
21625;37.077;38.0
21630;37.077;37.846
21635;37.385;38.0
21640;37.385;38.154
21645;37.538;38.0
21650;37.385;38.308
21655;37.538;38.0
21660;37.692;38.0
21665;37.692;38.154
21670;37.692;38.308
21675;37.538;38.308
21680;37.385;38.308
21685;37.538;38.308
21690;37.385;38.462
21695;37.077;38.462
21700;37.231;38.462
21705;37.077;38.308
21710;36.923;38.462
21715;37.231;38.462
21720;37.231;38.615
21725;37.077;38.615
21730;37.231;38.769
21735;37.231;38.615
21740;37.077;38.615
21745;37.077;38.615
21750;37.077;38.615
21755;37.231;38.769
21760;37.231;38.615
21765;37.231;38.923
21770;37.231;38.923
21775;37.231;38.923
21780;37.231;39.077
21785;37.231;39.231
21790;37.231;39.077
21795;37.385;38.769
21800;37.538;38.923
21805;37.538;38.615
21810;37.538;38.462
21815;37.692;38.769
21820;37.538;38.923
21825;37.692;38.923
21830;37.846;38.923
21835;38.0;38.769
21840;38.0;38.769
21845;38.0;38.923
21850;37.846;38.923
21855;38.0;38.923
21860;38.0;39.077
21865;38.0;39.231
21870;38.0;39.077
21875;38.308;39.077
21880;38.308;39.077
21885;38.154;39.077
21890;38.308;38.923
21895;38.308;38.923
21900;37.846;38.923
21905;37.846;38.923
21910;37.846;38.923
21915;37.846;39.077
21920;37.846;38.923
21925;37.846;38.923
21930;37.846;39.077
21935;38.154;39.077
21940;38.154;39.077
21945;38.308;39.077
21950;38.308;39.077
21955;38.615;39.077
21960;38.615;39.231
21965;38.615;39.231
21970;38.615;39.231
21975;38.615;39.385
21980;38.615;39.692
21985;38.462;39.846
21990;38.615;39.846
21995;38.615;40.154
22000;38.462;40.154
22005;38.462;40.308
22010;38.308;40.308
22015;38.154;40.308
22020;38.154;40.769
22025;38.154;40.923
22030;38.154;40.923
22035;38.308;40.923
22040;38.462;40.923
22045;38.462;40.923
22050;38.308;40.769
22055;38.462;40.615
22060;38.462;40.308
22065;38.462;40.308
22070;38.462;40.154
22075;38.462;40.154
22080;38.615;40.154
22085;38.769;39.846
22090;38.769;39.692
22095;38.615;39.692
22100;38.615;39.692
22105;38.615;39.385
22110;38.615;39.385
22115;38.462;39.385
22120;38.462;39.538
22125;38.615;39.846
22130;38.462;40.154
22135;38.615;40.154
22140;38.615;40.154
22145;38.615;40.154
22150;38.462;40.0
22155;38.462;40.154
22160;38.462;40.154
22165;38.462;40.154
22170;38.308;40.0
22175;38.462;40.0
22180;38.154;40.0
22185;38.0;40.154
22190;38.0;40.154
22195;38.154;40.308
22200;38.154;40.462
22205;38.0;40.615
22210;37.846;40.769
22215;38.154;40.769
22220;38.308;40.769
22225;38.308;40.615
22230;38.308;40.615
22235;38.154;40.769
22240;38.308;40.308
22245;38.154;40.0
22250;38.154;40.0
22255;38.154;40.0
22260;38.154;40.154
22265;38.0;40.308
22270;37.538;40.308
22275;37.692;40.0
22280;37.692;39.692
22285;37.846;39.846
22290;38.0;40.0
22295;38.0;40.308
22300;38.0;40.462
22305;38.0;40.308
22310;38.0;40.462
22315;38.0;40.462
22320;38.0;40.769
22325;38.0;40.769
22330;37.846;40.615
22335;38.0;40.462
22340;38.0;40.308
22345;38.0;40.308
22350;38.308;40.462
22355;38.154;40.615
22360;38.154;40.615
22365;38.154;40.615
22370;38.154;40.615
22375;37.846;40.462
22380;37.692;40.615
22385;37.538;40.615
22390;37.846;40.462
22395;37.692;40.308
22400;37.692;40.308
22405;37.538;40.308
22410;37.385;40.308
22415;37.385;40.154
22420;37.231;39.846
22425;37.385;39.846
22430;37.231;39.692
22435;37.231;39.692
22440;37.231;39.692
22445;37.231;39.846
22450;37.385;39.846
22455;37.231;39.692
22460;37.385;39.846
22465;37.538;40.0
22470;37.231;40.0
22475;37.231;40.308
22480;37.077;40.308
22485;37.077;40.308
22490;36.923;40.308
22495;36.769;40.308
22500;36.923;40.308
22505;37.077;40.308
22510;36.923;40.308
22515;36.923;40.154
22520;36.923;40.462
22525;36.923;40.462
22530;36.923;40.308
22535;36.769;40.308
22540;36.615;40.462
22545;36.615;40.308
22550;36.615;40.154
22555;36.462;40.154
22560;36.615;40.154
22565;36.308;40.154
22570;36.615;40.0
22575;36.615;40.154
22580;36.462;40.308
22585;36.308;40.462
22590;36.462;40.615
22595;36.308;40.615
22600;36.308;40.769
22605;36.308;40.462
22610;36.154;40.462
22615;36.154;40.615
22620;36.308;40.615
22625;36.154;40.769
22630;36.308;40.923
22635;36.154;40.923
22640;36.462;40.923
22645;36.462;41.077
22650;36.462;41.385
22655;36.615;41.385
22660;36.769;41.538
22665;36.923;41.692
22670;36.923;41.538
22675;36.308;41.538
22680;36.154;41.231
22685;35.692;41.231
22690;35.846;41.231
22695;35.692;41.231
22700;35.692;40.923
22705;35.846;41.077
22710;35.846;41.077
22715;36.0;41.231
22720;36.154;41.385
22725;36.154;40.923
22730;36.0;40.923
22735;36.154;40.923
22740;36.154;41.077
22745;36.154;41.077
22750;36.308;41.231
22755;36.308;41.231
22760;36.308;41.231
22765;36.0;41.231
22770;36.154;41.077
22775;36.154;41.077
22780;36.0;41.077
22785;36.0;40.923
22790;36.0;40.615
22795;35.846;40.462
22800;35.846;40.462
22805;36.0;40.154
22810;36.0;40.154
22815;36.0;40.308
22820;36.0;40.0
22825;36.0;40.0
22830;36.0;40.0
22835;35.846;40.0
22840;35.846;40.0
22845;35.846;39.846
22850;35.846;39.846
22855;35.846;40.154
22860;35.846;40.154
22865;35.846;40.308
22870;35.846;40.154
22875;35.538;40.154
22880;35.692;40.308
22885;35.692;40.308
22890;35.692;40.308
22895;35.692;40.154
22900;35.846;40.154
22905;36.0;40.154
22910;36.0;40.462
22915;36.308;40.154
22920;36.462;40.0
22925;36.462;40.0
22930;36.308;40.0
22935;36.154;39.846
22940;36.308;39.692
22945;36.462;39.692
22950;36.615;39.692
22955;36.615;39.692
22960;36.615;39.846
22965;36.769;39.846
22970;36.615;39.846
22975;36.769;40.0
22980;36.769;40.0
22985;36.923;39.846
22990;37.077;39.846
22995;37.077;39.846
23000;37.077;40.0
23005;36.769;39.846
23010;36.615;40.0
23015;36.462;40.0
23020;36.462;40.0
23025;36.462;39.846
23030;36.615;40.0
23035;36.462;40.0
23040;36.308;39.846
23045;36.462;39.846
23050;36.308;39.692
23055;36.615;39.692
23060;36.615;39.846
23065;36.615;39.692
23070;36.769;39.692
23075;36.769;39.538
23080;36.615;39.538
23085;36.769;39.538
23090;36.769;39.538
23095;36.923;39.846
23100;37.077;40.0
23105;36.923;39.846
23110;36.923;39.692
23115;36.769;39.692
23120;36.769;39.538
23125;36.615;39.538
23130;36.615;39.538
23135;36.615;39.692
23140;36.769;39.538
23145;36.923;39.385
23150;36.923;39.538
23155;36.769;39.385
23160;36.769;39.385
23165;36.769;39.385
23170;37.077;39.231
23175;36.923;38.923
23180;36.923;38.923
23185;36.769;39.077
23190;36.769;39.385
23195;36.615;39.385
23200;36.615;39.385
23205;36.769;39.385
23210;36.462;39.231
23215;36.615;39.077
23220;36.615;39.077
23225;36.462;38.923
23230;36.308;38.923
23235;36.462;38.769
23240;36.154;38.769
23245;36.0;38.769
23250;35.846;38.615
23255;35.846;38.462
23260;36.0;38.615
23265;35.846;38.615
23270;35.846;38.462
23275;35.692;38.308
23280;35.846;38.462
23285;35.846;38.462
23290;36.0;38.462
23295;36.154;38.462
23300;36.0;38.462
23305;36.0;38.769
23310;35.846;38.769
23315;36.0;38.923
23320;36.0;38.769
23325;35.692;38.923
23330;35.385;38.923
23335;35.385;38.923
23340;35.385;38.923
23345;35.077;38.769
23350;35.231;38.769
23355;35.231;38.923
23360;35.385;39.077
23365;35.385;39.077
23370;35.077;38.923
23375;35.077;38.923
23380;35.077;39.231
23385;35.077;39.077
23390;34.923;38.923
23395;35.077;38.769
23400;35.077;38.923
23405;35.231;38.923
23410;35.077;38.923
23415;35.385;38.923
23420;35.077;38.923
23425;34.923;39.077
23430;34.769;39.231
23435;34.923;39.385
23440;35.077;39.231
23445;35.077;39.231
23450;35.231;39.077
23455;35.538;39.077
23460;35.385;39.231
23465;35.538;39.231
23470;35.538;39.538
23475;35.538;39.538
23480;35.538;39.538
23485;35.538;39.692
23490;35.538;39.692
23495;35.538;39.538
23500;35.538;39.692
23505;35.385;39.692
23510;35.231;39.538
23515;35.231;39.538
23520;35.538;39.692
23525;35.231;39.692
23530;35.231;39.846
23535;35.231;39.846
23540;35.231;39.846
23545;35.077;39.692
23550;35.077;39.846
23555;34.923;40.0
23560;34.769;40.0
23565;34.615;40.0
23570;34.308;40.154
23575;34.154;40.308
23580;34.0;40.154
23585;33.692;40.154
23590;33.692;39.692
23595;33.692;39.538
23600;33.692;39.692
23605;33.385;39.538
23610;33.385;39.385
23615;33.231;39.385
23620;33.231;39.385
23625;33.231;39.231
23630;33.231;39.077
23635;33.385;39.231
23640;33.231;39.077
23645;33.231;38.769
23650;33.385;38.923
23655;33.385;38.923
23660;33.231;38.923
23665;33.231;38.923
23670;33.231;38.615
23675;33.231;38.769
23680;33.231;39.077
23685;33.231;39.231
23690;33.231;39.231
23695;33.231;39.231
23700;33.077;39.231
23705;32.923;39.385
23710;33.077;39.385
23715;32.769;39.385
23720;32.769;39.077
23725;32.769;39.077
23730;32.615;39.077
23735;32.769;39.231
23740;33.077;39.231
23745;32.769;39.231
23750;32.923;39.231
23755;32.923;39.077
23760;32.923;39.231
23765;32.923;39.231
23770;33.231;39.231
23775;33.077;39.231
23780;32.769;39.077
23785;32.615;39.077
23790;32.615;38.923
23795;32.615;38.769
23800;32.308;38.923
23805;32.154;38.923
23810;32.154;39.077
23815;32.154;39.077
23820;32.0;38.923
23825;32.154;39.077
23830;32.308;39.077
23835;32.308;38.923
23840;32.462;38.923
23845;32.308;38.769
23850;32.462;38.769
23855;32.462;38.615
23860;32.462;38.615
23865;32.462;38.154
23870;32.615;38.0
23875;32.615;38.0
23880;32.769;38.0
23885;33.077;38.154
23890;33.077;38.0
23895;33.231;38.0
23900;33.077;38.0
23905;33.231;37.846
23910;33.231;37.538
23915;33.231;37.692
23920;33.385;37.692
23925;33.538;37.692
23930;33.846;37.692
23935;34.0;37.692
23940;34.0;37.692
23945;33.846;37.692
23950;33.846;38.0
23955;33.692;38.0
23960;33.692;38.154
23965;33.846;38.462
23970;33.846;38.308
23975;33.692;38.154
23980;33.692;38.0
23985;33.846;38.0
23990;33.846;38.0
23995;34.0;37.846
24000;33.846;37.846
24005;33.385;37.846
24010;33.385;38.0
24015;33.385;38.0
24020;33.385;38.154
24025;33.538;38.154
24030;33.385;38.308
24035;33.538;38.462
24040;33.538;38.462
24045;33.846;38.462
24050;33.692;38.308
24055;33.538;38.308
24060;33.538;38.308
24065;33.846;38.308
24070;34.154;38.308
24075;34.308;38.154
24080;34.308;38.154
24085;34.308;38.308
24090;34.462;38.154
24095;34.308;38.154
24100;34.462;38.0
24105;34.769;37.846
24110;34.769;38.0
24115;34.923;37.846
24120;34.923;37.846
24125;35.231;37.538
24130;35.231;37.538
24135;35.077;37.538
24140;35.077;37.692
24145;35.231;37.692
24150;35.231;37.846
24155;35.385;38.154
24160;35.231;38.462
24165;35.077;38.462
24170;35.077;38.462
24175;35.231;38.462
24180;35.692;38.615
24185;35.692;38.308
24190;35.692;38.154
24195;35.692;38.0
24200;35.846;38.0
24205;36.0;37.846
24210;36.154;37.846
24215;35.846;37.846
24220;35.692;37.692
24225;35.692;37.846
24230;35.692;38.0
24235;35.538;38.154
24240;35.385;38.154
24245;35.385;38.154
24250;35.385;38.0
24255;35.846;38.308
24260;35.846;38.154
24265;35.692;38.154
24270;35.846;38.154
24275;35.846;38.154
24280;35.692;38.154
24285;35.692;38.308
24290;35.692;38.308
24295;35.538;38.462
24300;35.538;38.462
24305;35.538;38.308
24310;35.538;38.308
24315;35.385;38.0
24320;35.231;38.0
24325;35.077;38.154
24330;35.077;38.308
24335;34.769;38.308
24340;34.769;38.462
24345;34.615;38.462
24350;34.769;38.462
24355;34.923;38.615
24360;34.923;38.615
24365;34.923;38.462
24370;34.923;38.462
24375;34.923;38.308
24380;35.077;38.308
24385;34.923;38.462
24390;34.923;38.615
24395;34.923;38.615
24400;35.077;38.462
24405;34.923;38.462
24410;35.077;38.462
24415;35.077;38.462
24420;35.077;38.615
24425;35.077;38.615
24430;35.077;38.769
24435;35.077;38.769
24440;35.077;38.769
24445;34.923;38.769
24450;35.077;38.615
24455;35.077;38.615
24460;35.231;38.308
24465;34.923;38.308
24470;34.923;38.462
24475;35.231;38.462
24480;35.385;38.308
24485;35.385;38.462
24490;35.385;38.462
24495;35.692;38.462
24500;35.692;38.615
24505;35.846;38.615
24510;36.0;38.615
24515;36.0;38.615
24520;36.0;38.154
24525;35.846;38.154
24530;36.154;38.0
24535;36.308;38.0
24540;36.308;38.154
24545;36.615;38.154
24550;36.923;38.154
24555;37.077;38.154
24560;36.923;38.154
24565;37.077;38.0
24570;37.231;38.154
24575;37.231;38.308
24580;37.231;38.154
24585;37.231;38.0
24590;36.923;37.692
24595;36.923;37.846
24600;36.923;38.0
24605;36.769;38.0
24610;36.769;38.0
24615;36.769;37.538
24620;36.769;37.538
24625;36.923;37.538
24630;36.769;37.692
24635;36.769;37.846
24640;36.615;37.692
24645;36.769;37.846
24650;36.923;37.846
24655;36.615;37.846
24660;36.615;37.846
24665;36.923;37.846
24670;37.077;38.0
24675;36.923;37.846
24680;37.231;37.692
24685;37.231;37.846
24690;37.077;37.538
24695;37.077;37.538
24700;37.077;37.692
24705;37.077;37.692
24710;37.231;37.538
24715;37.538;37.538
24720;37.538;37.385
24725;37.538;37.077
24730;37.692;37.077
24735;37.846;37.077
24740;38.0;37.077
24745;38.308;36.769
24750;38.154;36.769
24755;38.154;36.769
24760;38.0;36.923
24765;38.0;36.769
24770;38.0;36.769
24775;38.154;36.615
24780;38.154;36.615
24785;38.154;36.308
24790;38.154;36.462
24795;38.154;36.462
24800;38.0;36.462
24805;37.846;36.308
24810;37.692;36.308
24815;37.538;36.308
24820;37.538;36.308
24825;37.692;36.0
24830;37.692;36.0
24835;37.846;36.154
24840;37.846;36.0
24845;38.0;36.0
24850;37.692;35.846
24855;37.538;35.692
24860;37.538;35.538
24865;37.538;35.231
24870;37.538;35.231
24875;37.231;35.231
24880;37.077;35.231
24885;36.923;35.077
24890;37.231;35.231
24895;37.231;35.385
24900;37.231;35.385
24905;37.231;35.385
24910;37.231;35.385
24915;37.385;35.231
24920;37.231;35.231
24925;37.077;35.077
24930;37.077;35.077
24935;37.077;35.077
24940;37.077;35.077
24945;37.077;34.923
24950;37.077;34.769
24955;36.923;34.923
24960;36.923;34.923
24965;37.077;34.769
24970;37.077;34.769
24975;36.769;34.923
24980;36.769;34.769
24985;36.769;34.615
24990;36.615;34.462
24995;36.615;34.308
25000;36.615;34.462
25005;36.769;34.462
25010;36.769;34.923
25015;37.077;35.077
25020;36.923;35.077
25025;36.923;35.077
25030;36.769;35.385
25035;36.615;35.385
25040;36.615;35.538
25045;36.615;35.538
25050;36.769;35.692
25055;36.615;35.538
25060;36.615;35.385
25065;36.615;35.385
25070;36.462;35.385
25075;36.462;35.385
25080;36.769;35.385
25085;36.615;35.692
25090;36.615;35.692
25095;36.462;35.692
25100;36.462;35.385
25105;36.462;35.385
25110;36.615;35.231
25115;36.615;35.231
25120;36.923;35.077
25125;36.923;35.077
25130;36.769;35.077
25135;36.923;34.923
25140;36.923;34.769
25145;36.923;34.923
25150;37.077;35.077
25155;36.923;35.077
25160;36.923;34.923
25165;36.923;34.923
25170;36.923;34.769
25175;36.769;34.769
25180;36.769;34.769
25185;36.769;34.923
25190;36.923;34.923
25195;36.923;34.923
25200;36.769;34.769
25205;36.615;34.769
25210;36.308;35.077
25215;36.308;34.923
25220;36.769;34.923
25225;36.769;34.923
25230;36.923;34.923
25235;36.769;34.923
25240;36.769;34.769
25245;36.769;34.769
25250;36.615;34.923
25255;36.615;34.923
25260;36.462;35.077
25265;36.615;35.077
25270;36.769;35.231
25275;36.615;35.077
25280;36.769;35.077
25285;36.923;34.923
25290;36.923;34.923
25295;36.923;34.462
25300;36.923;34.462
25305;36.769;34.615
25310;36.615;34.615
25315;36.462;34.615
25320;36.462;34.615
25325;36.308;34.615
25330;36.308;34.615
25335;36.308;34.462
25340;36.308;34.615
25345;36.462;34.923
25350;36.615;34.769
25355;36.462;35.077
25360;36.308;35.077
25365;36.462;34.923
25370;36.308;34.923
25375;36.0;34.923
25380;36.0;34.923
25385;36.0;35.077
25390;35.846;35.231
25395;35.846;35.231
25400;35.846;35.385
25405;35.846;35.538
25410;35.846;35.692
25415;35.692;35.692
25420;35.846;35.846
25425;35.846;35.846
25430;35.846;35.846
25435;35.846;36.0
25440;35.846;36.0
25445;35.692;36.0
25450;36.0;36.0
25455;35.846;36.0
25460;35.846;36.0
25465;35.692;36.0
25470;35.538;35.846
25475;35.231;35.846
25480;35.231;35.846
25485;35.385;36.0
25490;35.077;36.0
25495;35.077;35.846
25500;35.077;35.846
25505;35.231;36.0
25510;35.077;36.154
25515;34.923;36.0
25520;35.077;36.154
25525;35.077;35.846
25530;35.077;35.846
25535;34.923;35.846
25540;34.923;35.846
25545;35.077;36.154
25550;35.231;36.308
25555;35.077;36.462
25560;35.077;36.462
25565;35.077;36.462
25570;35.077;36.615
25575;34.923;36.615
25580;35.077;36.769
25585;35.231;36.923
25590;35.231;37.077
25595;35.231;37.077
25600;35.385;37.231
25605;35.385;37.231
25610;35.385;37.385
25615;35.385;37.538
25620;35.231;37.385
25625;35.231;37.538
25630;35.538;37.692
25635;35.692;38.0
25640;35.692;38.0
25645;35.692;38.0
25650;35.692;38.154
25655;35.692;38.308
25660;35.692;38.154
25665;35.846;38.154
25670;35.692;38.308
25675;35.692;38.154
25680;35.846;38.308
25685;35.846;38.154
25690;35.846;38.308
25695;35.846;38.308
25700;35.692;37.846
25705;35.692;37.692
25710;35.846;37.692
25715;36.0;37.692
25720;36.154;37.846
25725;36.154;37.538
25730;36.0;37.385
25735;36.0;37.692
25740;36.154;37.692
25745;36.0;37.692
25750;35.846;38.0
25755;36.0;37.692
25760;36.154;37.692
25765;36.308;37.692
25770;36.308;37.692
25775;36.308;37.538
25780;36.462;37.538
25785;36.462;37.538
25790;36.462;37.538
25795;36.615;37.385
25800;36.769;37.538
25805;36.462;37.385
25810;36.462;37.385
25815;36.462;37.692
25820;36.462;37.846
25825;36.462;38.0
25830;36.308;38.154
25835;36.462;38.0
25840;36.462;38.0
25845;36.154;38.0
25850;36.154;37.846
25855;36.0;37.692
25860;35.846;37.692
25865;35.846;37.538
25870;36.154;37.538
25875;36.308;37.538
25880;36.154;37.538
25885;36.154;37.538
25890;36.0;37.385
25895;36.0;37.385
25900;35.846;37.538
25905;35.846;37.385
25910;36.0;37.692
25915;35.846;37.538
25920;35.692;37.385
25925;35.692;37.692
25930;35.538;37.692
25935;35.538;37.692
25940;35.538;37.538
25945;35.692;37.846
25950;35.692;37.846
25955;36.0;38.0
25960;36.0;37.846
25965;35.846;38.0
25970;35.846;37.846
25975;35.692;38.0
25980;35.846;38.0
25985;35.692;38.0
25990;36.0;38.0
25995;36.154;38.0
26000;36.154;37.846
26005;36.0;37.846
26010;36.0;37.846
26015;35.846;37.692
26020;35.692;37.692
26025;35.538;37.846
26030;35.692;37.846
26035;35.692;37.846
26040;35.846;37.692
26045;35.846;37.846
26050;35.846;37.692
26055;35.692;37.385
26060;35.692;37.231
26065;35.692;37.077
26070;35.692;37.077
26075;35.692;37.077
26080;35.846;37.077
26085;35.846;37.077
26090;35.846;37.077
26095;35.692;36.923
26100;35.692;36.769
26105;35.846;36.923
26110;35.846;36.615
26115;35.692;36.615
26120;35.538;36.615
26125;35.538;36.615
26130;35.538;36.615
26135;35.692;36.615
26140;35.846;36.462
26145;36.154;36.615
26150;36.462;36.769
26155;36.462;36.615
26160;36.0;36.769
26165;35.846;36.769
26170;36.0;36.923
26175;36.0;37.077
26180;35.846;37.231
26185;36.0;37.231
26190;36.0;37.231
26195;36.0;37.231
26200;35.846;37.385
26205;36.0;37.231
26210;36.154;37.077
26215;36.308;37.077
26220;36.308;37.077
26225;36.308;37.077
26230;36.308;37.231
26235;36.0;36.923
26240;36.0;37.077
26245;36.0;36.923
26250;36.0;36.769
26255;36.0;36.769
26260;36.0;37.077
26265;35.846;37.231
26270;35.692;37.231
26275;35.692;37.231
26280;35.692;36.769
26285;35.538;36.923
26290;35.385;37.077
26295;35.538;37.538
26300;35.538;37.231
26305;35.538;37.231
26310;35.846;37.077
26315;35.846;37.077
26320;36.0;37.231
26325;36.0;37.385
26330;36.0;37.231
26335;35.846;37.231
26340;35.692;37.385
26345;35.231;37.231
26350;35.231;37.231
26355;34.923;37.231
26360;35.231;37.231
26365;35.385;37.077
26370;35.692;37.231
26375;35.692;37.385
26380;35.692;37.231
26385;35.385;37.231
26390;35.538;37.077
26395;35.538;36.923
26400;35.538;37.077
26405;35.538;37.077
26410;35.385;37.077
26415;35.385;36.923
26420;35.385;36.923
26425;35.385;36.923
26430;35.231;37.231
26435;35.385;37.231
26440;35.385;37.231
26445;35.231;37.231
26450;35.385;37.231
26455;35.385;37.077
26460;35.385;37.231
26465;35.385;37.231
26470;35.077;37.231
26475;35.077;37.231
26480;35.077;36.923
26485;35.077;36.923
26490;35.077;36.923
26495;34.923;36.769
26500;35.077;36.769
26505;35.231;36.769
26510;35.231;36.769
26515;35.231;36.769
26520;35.231;36.462
26525;35.231;36.615
26530;35.231;36.462
26535;35.077;36.462
26540;35.077;36.462
26545;34.923;36.462
26550;34.923;36.308
26555;34.923;36.462
26560;34.923;36.615
26565;34.923;36.615
26570;34.769;36.462
26575;34.923;36.308
26580;35.077;36.462
26585;35.077;36.615
26590;35.231;36.615
26595;35.231;36.769
26600;35.077;36.462
26605;35.077;36.462
26610;34.923;36.308
26615;34.923;36.462
26620;34.615;36.615
26625;34.615;36.769
26630;34.462;36.923
26635;34.615;36.769
26640;34.615;36.769
26645;34.615;36.769
26650;34.615;36.923
26655;34.462;36.923
26660;34.462;36.769
26665;34.769;36.923
26670;34.615;36.923
26675;34.615;36.923
26680;34.769;36.769
26685;34.769;36.615
26690;34.615;36.769
26695;34.769;36.769
26700;34.923;36.615
26705;35.077;36.769
26710;35.077;36.615
26715;35.077;36.769
26720;35.077;36.923
26725;35.077;37.077
26730;35.077;36.769
26735;34.769;36.462
26740;34.462;36.308
26745;34.462;36.308
26750;34.462;36.154
26755;34.462;36.154
26760;34.462;36.154
26765;34.615;36.308
26770;34.615;36.462
26775;34.615;36.615
26780;34.769;36.462
26785;34.615;36.615
26790;34.615;36.923
26795;34.462;37.077
26800;34.462;37.231
26805;34.615;37.077
26810;34.615;37.077
26815;34.462;37.077
26820;34.462;37.077
26825;34.308;37.077
26830;34.769;37.077
26835;34.769;37.077
26840;34.769;37.231
26845;34.615;37.231
26850;34.615;37.077
26855;34.462;36.923
26860;34.769;36.923
26865;35.231;36.923
26870;35.231;37.077
26875;35.231;37.077
26880;35.385;36.923
26885;35.538;37.231
26890;35.385;37.385
26895;35.692;37.538
26900;35.692;37.692
26905;35.692;37.692
26910;35.846;37.692
26915;36.0;37.692
26920;36.154;37.538
26925;36.154;37.538
26930;36.154;37.231
26935;36.154;37.077
26940;36.308;37.077
26945;36.462;36.923
26950;36.615;36.769
26955;36.615;36.769
26960;36.462;36.769
26965;36.462;36.615
26970;36.462;36.615
26975;36.615;36.769
26980;36.769;36.769
26985;37.077;36.923
26990;37.077;36.769
26995;37.077;36.615
27000;37.077;36.615
27005;37.231;36.769
27010;37.077;36.769
27015;36.769;36.615
27020;36.769;36.615
27025;36.308;36.615
27030;36.308;36.615
27035;36.308;36.769
27040;36.154;36.615
27045;36.308;36.462
27050;36.615;36.308
27055;36.769;36.154
27060;36.615;36.0
27065;36.769;36.0
27070;36.615;35.846
27075;36.769;35.846
27080;36.769;36.154
27085;36.615;35.846
27090;36.308;35.846
27095;36.308;36.462
27100;36.615;36.615
27105;36.615;36.615
27110;36.615;36.615
27115;36.462;36.615
27120;36.462;36.615
27125;36.615;36.615
27130;36.615;36.462
27135;36.769;36.154
27140;36.615;36.154
27145;36.769;36.308
27150;36.923;36.462
27155;36.923;36.462
27160;36.769;36.462
27165;36.923;36.615
27170;37.077;36.462
27175;37.077;36.615
27180;37.385;36.615
27185;37.231;36.615
27190;37.231;36.615
27195;37.231;36.308
27200;37.231;36.308
27205;36.923;36.154
27210;36.923;36.154
27215;37.077;36.154
27220;36.769;36.154
27225;36.769;36.0
27230;36.769;35.846
27235;36.923;36.0
27240;36.923;36.0
27245;36.769;36.0
27250;36.615;35.846
27255;36.615;35.846
27260;36.308;35.692
27265;36.308;35.692
27270;36.308;35.692
27275;36.308;35.692
27280;36.308;35.846
27285;36.308;35.692
27290;36.462;35.692
27295;36.615;36.154
27300;36.615;36.154
27305;36.308;36.154
27310;36.0;36.154
27315;35.846;36.0
27320;35.846;35.846
27325;36.0;35.846
27330;35.846;36.0
27335;35.846;36.0
27340;36.0;36.0
27345;36.154;36.0
27350;36.462;36.0
27355;36.462;35.846
27360;36.462;35.692
27365;36.308;35.692
27370;36.308;35.692
27375;36.154;35.692
27380;36.154;35.692
27385;36.0;35.692
27390;35.846;35.692
27395;35.846;36.0
27400;35.846;36.0
27405;35.846;36.0
27410;35.538;36.154
27415;35.846;36.0
27420;36.0;35.692
27425;36.154;36.0
27430;36.0;36.154
27435;36.0;36.0
27440;36.154;36.154
27445;36.154;36.154
27450;36.154;36.0
27455;36.462;35.846
27460;36.462;35.692
27465;36.615;35.846
27470;36.769;35.538
27475;36.615;35.692
27480;36.462;35.385
27485;36.462;35.538
27490;36.462;35.385
27495;36.462;35.385
27500;36.308;35.385
27505;36.308;35.385
27510;36.308;35.231
27515;36.462;35.231
27520;36.308;34.923
27525;36.462;34.769
27530;36.462;34.769
27535;36.923;34.769
27540;36.923;34.769
27545;37.077;34.923
27550;37.231;34.923
27555;37.231;35.077
27560;37.231;34.769
27565;37.385;34.769
27570;37.385;34.769
27575;37.385;34.769
27580;37.538;34.769
27585;37.692;34.769
27590;37.538;34.769
27595;37.077;34.769
27600;37.231;34.769
27605;37.231;34.769
27610;37.231;34.769
27615;37.231;34.769
27620;37.231;34.615
27625;37.231;34.615
27630;37.077;34.615
27635;37.077;34.462
27640;37.077;34.462
27645;36.923;34.769
27650;36.923;34.923
27655;36.923;34.923
27660;36.769;35.077
27665;36.769;35.077
27670;36.769;35.231
27675;36.769;35.385
27680;36.923;35.538
27685;36.769;35.385
27690;36.769;35.385
27695;36.769;35.385
27700;36.615;35.385
27705;36.615;35.231
27710;36.769;35.231
27715;36.769;35.231
27720;36.923;35.231
27725;36.769;35.231
27730;36.769;35.077
27735;36.769;35.077
27740;36.769;35.077
27745;36.769;35.231
27750;36.769;35.077
27755;36.615;35.077
27760;36.615;34.769
